Galaxy,n_points,log10_rho_s_Msun_kpc3,log10_r_s_kpc,rho_s_Msun_kpc3,r_s_kpc,rss,rms_km_s
NGC0247,26,5.742344315322831,1.695895140534679,552515.3082894635,49.64724347798847,187.09302989263398,2.682514821040381
NGC0289,28,5.105861736324365,2.188007484497644,127603.25014818257,154.17270223703505,13590.296011174507,22.031062495594803
NGC0300,25,5.932273396325741,1.592130381158215,855605.1624958572,39.09582492029309,343.63762671813,3.7074930975964335
NGC0801,13,4.000000000000001,2.7942496487976904,10000.00000000002,622.6581096072114,16805.568967524494,35.954639122440945
NGC0891,18,4.00000473624628,-1.9999968918012203,10000.109056695466,0.010000071569177867,87316.77624911498,69.64863253388197
NGC1003,36,5.194723512040492,2.0918235975073114,156575.39357626103,123.5445516094781,1224.8949209665675,5.833083139793054
NGC1090,24,4.119836311947603,2.9999999999999676,13177.599737406044,999.9999999999253,5159.630642492058,14.662353498120135
NGC1705,14,7.86928685510969,0.3544217825780408,74009395.18504825,2.261631178178672,45.83354421898395,1.8093713237117146
NGC2366,26,5.43035963550944,1.7257353068575403,269376.4563746126,53.178404954105034,484.8205028047455,4.318210557113575
NGC2403,73,4.474671766996752,2.9999999999999942,29831.271656714995,999.9999999999867,5498.308477131908,8.6786689190962
NGC2683,11,4.16479565733962,2.9999999999997087,14614.893579967142,999.9999999993292,3004.346294831321,16.526414930020696
NGC2841,50,6.355335517037555,1.7006501589507,2266394.549332315,50.19380960226254,1606.7119564247066,5.668707006760371
NGC2903,34,4.297481881489531,2.9999999999999996,19837.26895190272,999.999999999999,112330.64120763929,57.47906043473553
NGC2915,30,6.858225827382753,0.9796992430805403,7214825.430339706,9.543314650300085,4107.761741762032,11.701512354908136
NGC2955,24,4.000000001505786,-1.999999988101866,10000.000034671997,0.010000000273964664,46753.08936295657,44.13666718413603
NGC2976,27,4.000000000001526,-1.9999999999989113,10000.000000035136,0.010000000000025069,366.54965489603075,3.684550602759777
NGC2998,13,4.297033479911004,2.9999999999979083,19816.797882933297,999.9999999951838,4459.344360507521,18.520974306709928
NGC3109,25,4.354515804645388,2.999999999999222,22621.208603354673,999.9999999982085,363.550087140676,3.8133978923824667
NGC3198,43,4.713489344956336,2.546981416569244,51699.85736952374,352.3557934399445,7273.744630336256,13.006031365035417
NGC3521,41,4.000000000146111,-1.9999999999548304,10000.000003364323,0.01000000000104007,112401.10119363062,52.35924247938831
NGC3726,12,4.076128353568967,2.9999999999999996,11915.941256947,999.999999999999,9338.20200419116,27.895940571152344
NGC3741,21,5.688931886767371,1.5563289046141695,488575.72681973956,36.002188762286764,49.49368122175838,1.535200951973674
NGC3769,12,5.0903349779865135,2.1086755208038284,123121.80620152054,128.43267282812988,3833.6399669925468,17.873723653715217
NGC3877,13,4.000000000237081,-1.9999999994022075,10000.000005458982,0.01000000001376468,11015.406565109115,29.109087353382535
NGC3893,10,4.347725591607533,2.9999999999999876,22270.275602148642,999.9999999999714,6601.753376416589,25.69387743493883
NGC3917,17,4.395616412443989,2.9999999999999907,24866.600230227265,999.9999999999785,636.2576460087956,6.117754518894867
NGC3949,7,4.0000029457692845,-1.999991411353326,10000.067829074456,0.01000019776285349,7180.110668369515,32.02702133326419
NGC3953,8,4.0000151993517745,-1.9999899398733643,10000.349984132494,0.010000231645659195,2669.288233303263,18.266390698846553
NGC3972,10,4.486242718287314,2.999999999999469,30636.75180600227,999.9999999987771,375.2889319449429,6.126083022167941
NGC3992,9,5.421364128767287,2.1454237638078784,263854.27117462235,139.77315355460266,252.87093357348144,5.300638678221096
NGC4010,12,4.203270699997069,2.999999999999989,15968.741843895692,999.9999999999744,1754.8160929884996,12.092752970920571
NGC4013,36,4.284838415380495,2.9999999999999996,19268.078871662474,999.999999999999,13704.576735973133,19.51109138696154
NGC4051,7,4.0000180297042185,-1.9999999999999276,10000.415157899211,0.010000000000001667,6167.202309312586,29.68213101059911
NGC4068,6,4.000000000000001,2.7788455447660807,10000.00000000002,600.9599702713822,120.62459616453246,4.48375951192249
NGC4085,7,4.000000000191854,-1.9999999983715506,10000.000004417594,0.010000000037496433,7872.565460000213,33.535834693227166
NGC4088,12,4.000010179744557,-1.9999933336572826,10000.234400027792,0.01000015349939175,30955.088069626105,50.78967092302176
NGC4100,24,4.356507645138136,2.9999999999999996,22725.196394025243,999.999999999999,2194.9033472575748,9.563174480042298
NGC4138,7,4.29548776570546,2.9999999999999902,19746.39252042407,999.9999999999775,3123.385243623683,21.123396789963504
NGC4157,17,4.039721758520414,2.9999999999999996,10957.759353066827,999.999999999999,22832.058309765845,36.64781376174626
NGC4183,23,6.373067057679047,1.243785834146724,2360842.7333511016,17.53015815024259,169.7431022739606,2.7166403666066197
NGC4214,14,6.989194529996087,0.8969207397871578,9754264.547209376,7.887161611138205,393.17691802731446,5.29944011885969
NGC4217,19,4.000000202635319,-1.9999975184550558,10000.004665851742,0.010000057139847208,78820.50520064769,64.40844387298417
NGC4389,6,4.000000000038698,-1.999999999498478,10000.000000891052,0.01000000001154797,19767.05600321872,57.39781645559164
NGC4559,32,4.126814048303685,2.9999999999999765,13391.03201372666,999.9999999999458,3989.9365448893523,11.166266924437739
NGC5005,18,4.000007005761213,-1.9999954718778075,10000.16131491445,0.010000104264410148,58542.6562664777,57.02955192338525
NGC5033,22,5.198759567074194,2.286747947127664,158037.28753216736,193.52984426233692,27608.803841876488,35.42521177320192
NGC5055,28,4.000000000000001,2.9974492705305997,10000.00000000002,994.1439422902417,80543.88640909111,53.63364029928655
NGC5371,19,4.000011077853477,-1.9999928142977696,10000.25508025603,0.01000016545827719,24116.997043584135,35.62745618021092
NGC5585,24,4.322196458385034,2.9999999999999853,20998.895793664335,999.9999999999662,1902.1554115316997,8.90261059917188
NGC5985,33,7.902718843134222,0.824554793761329,79931661.97953261,6.676591323993049,3135.6213182075626,9.74776014397521
NGC6015,44,5.242982763952388,2.235883684545865,174977.72430212528,172.14074751657472,2865.1741488911293,8.069547341268915
NGC6195,23,4.000006135658567,-1.9999959811611772,10000.14127975751,0.010000092537611804,44219.87455369634,43.84749983140497
NGC6503,31,5.584604537981248,1.8364160927976265,384241.7379536554,68.61452999493824,3255.21988917642,10.247296872797204
NGC6674,15,6.019204112152603,1.7728116769728017,1045211.3380800957,59.266827023023644,1355.5543762416714,9.506329036460118
NGC6789,4,5.080258027258592,2.999999999999803,120297.89478841469,999.9999999995459,120.55235115556843,5.489816735455939
NGC6946,58,4.000000000000007,2.769365334579322,10000.000000000164,587.9837646963556,41150.974964402754,26.636433101144974
NGC7331,36,4.000000000004146,2.8014485048135755,10000.000000095466,633.0652934116516,177381.0523445787,70.19438335092114
NGC7793,46,4.232024194912168,2.999999999999822,17061.774389407245,999.9999999995899,3156.139835179325,8.283220119456963
NGC7814,18,4.720640244056114,2.9999999999998797,52558.17105908008,999.999999999723,15716.652454862018,29.54906696671564
PGC51017,6,11.488885027721452,-1.9999999999999998,308237183528.305,0.010000000000000005,93.96607962539548,3.9573998118586964
UGC00128,22,6.286936433090291,1.3982409085171745,1936138.5540546903,25.017327189304147,385.5577534071137,4.186329230674061
UGC00191,9,6.62196227270132,1.0296623796686308,4187571.859689277,10.706866303228452,184.19816657770602,4.523987505849066
UGC00634,4,5.750064047281802,1.7354469967842217,562424.2622082116,54.38097587266432,63.97145679316911,3.9991079253118786
UGC00731,12,6.773226656749835,0.903232463727623,5932348.5096736355,8.002624949014544,21.028384990144154,1.3237693967777568
UGC00891,5,4.206413310715477,2.9999999999999996,16084.712797683975,999.999999999999,81.84298409552295,4.045812257026343
UGC01230,11,6.742985034635721,1.0611262527269267,5533310.416391823,11.51134984049961,1005.3390297478875,9.560044835135866
UGC01281,23,4.280301422237544,2.9999999999999316,19067.836626851295,999.9999999998425,412.49479046202373,4.234921027250037
UGC02023,5,4.000000000001735,2.842158102754947,10000.000000039941,695.2773838099101,227.45175482108436,6.744653509574593
UGC02259,8,7.406005725367358,0.6447425803913643,25468638.28040215,4.4130879261068925,24.723661229338823,1.7579697533425747
UGC02455,8,4.0000000000000995,-1.9999999999999094,10000.00000000229,0.010000000000002085,10012.869516615927,35.378082050571805
UGC02487,17,6.482957449602979,1.6688476652945632,3040587.1067937165,46.6495721884253,1056.4090536737979,7.883001271066444
UGC02885,19,4.479456429486372,2.999999999999998,30161.742608574557,999.9999999999949,3626.7995595877182,13.81608437100476
UGC02916,43,4.000000000000001,2.9708539617292473,10000.00000000002,935.0911823278575,64712.75479278424,38.79365651596538
UGC02953,115,4.516918025489173,2.9999999999999876,32878.95649076017,999.9999999999714,208878.54851838137,42.618484305611624
UGC03205,48,4.46267029847578,2.9999999999999956,29018.18856369691,999.9999999999898,9259.48987932497,13.889061852861177
UGC03546,30,4.175411293501885,2.9999999999999996,14976.533197309733,999.999999999999,149454.59607064546,70.5820081112851
UGC03580,47,4.192939912714979,2.9999999999999853,15593.367441716597,999.9999999999662,50747.30463249968,32.85924353660421
UGC04278,25,4.452789827451355,2.999999999999812,28365.45977667309,999.9999999995674,925.8375673178032,6.085515811557154
UGC04305,22,4.000000000032721,-1.9999999999798113,10000.000000753438,0.010000000000464863,534.5194171653942,4.92913147967079
UGC04325,8,7.522191809770895,0.5948424579682317,33280650.760257043,3.9340733950830957,126.34703149177462,3.9740884409474115
UGC04483,8,4.097338841038988,2.9999999998097158,12512.348758552762,999.9999995618543,12.726228959011934,1.2612607263672693
